DUVELA EXAM · TELC DEUTSCH B1 · ELEVENLABS AUDIO SCRIPTS
Format: relative MP3 path | German transcript
mt4/b1m4-h3-1.mp3 | Achtung am Hauptbahnhof Hannover: Der Regionalexpress nach Berlin fährt heute nicht von Gleis acht, sondern von Gleis zwölf. Die Abfahrtszeit ändert sich nicht.
mt4/b1m4-h3-2.mp3 | Wegen einer internen Schulung öffnet das Bürgerbüro morgen erst um elf Uhr. Bereits vereinbarte Termine am Vormittag werden telefonisch neu vergeben.
mt4/b1m4-h3-3.mp3 | Und nun das Wetter: Am Morgen bleibt es trocken. Gegen Mittag ziehen Wolken auf, ab dem späten Nachmittag muss mit kräftigem Regen gerechnet werden.
mt4/b1m4-h3-4.mp3 | Sie hören eine Nachricht der Arztpraxis. Ihr Termin bei Frau Dr. Kern wurde von Donnerstag auf Freitag, neun Uhr fünfzehn verschoben. Bitte bestätigen Sie den neuen Termin.
mt4/b1m4-h3-5.mp3 | Im Kulturzentrum beginnt gleich der Filmabend. Eintrittskarten gibt es noch an der Abendkasse. Mitglieder zahlen sechs Euro, alle anderen neun Euro.
mt5/b1m5-h1-1.mp3 | Ich wohne seit drei Jahren in Bremen. Am Anfang kannte ich kaum jemanden. Seit ich bei einem Projekt im Stadtteil mitmache, treffe ich regelmäßig Menschen aus der Nachbarschaft und fühle mich hier wirklich zu Hause.
mt5/b1m5-h1-2.mp3 | Mein Arbeitsweg dauert normalerweise zwanzig Minuten. Heute nehme ich jedoch nicht den Bus, weil die Linie umgeleitet wird. Ich fahre mit dem Fahrrad und bin wahrscheinlich sogar etwas früher im Büro.
mt5/b1m5-h1-3.mp3 | Für die Weiterbildung musste ich zunächst selbst bezahlen. Nach dem erfolgreichen Abschluss hat mein Arbeitgeber aber die Hälfte der Kursgebühr übernommen. Darüber habe ich mich sehr gefreut.
mt5/b1m5-h1-4.mp3 | Ich bestelle nur selten im Internet. Kleidung probiere ich lieber im Geschäft an, und bei technischen Geräten möchte ich mich persönlich beraten lassen. Das ist mir wichtiger als der niedrigste Preis.
mt5/b1m5-h1-5.mp3 | Am Wochenende wollte ich eigentlich ausruhen. Dann hat mich David gefragt, ob ich beim Medienworkshop für Vereine helfen kann. Jetzt übernehme ich zwei Stunden am Informationsstand und freue mich schon darauf.
mt5/b1m5-h2.mp3 | Moderatorin: Guten Abend, Frau Özdemir. Sie organisieren in Bremen das Medienworkshop für Vereine. Wann findet es statt? Frau Özdemir: Am Mittwoch, 27. November. Wir beginnen um 17 Uhr. Moderatorin: Wo treffen sich die Gäste? Frau Özdemir: Kulturzentrum Hafen. Die Anreise ist am einfachsten mit der Buslinie 24. Moderatorin: Muss man Eintritt bezahlen? Frau Özdemir: Der Eintritt ist zehn Euro pro Person. Eine Anmeldung ist trotzdem nötig, und zwar bis zum 20. November. Moderatorin: Wer kann teilnehmen? Frau Özdemir: Erwachsene, Jugendliche und Familien sind willkommen. Kinder unter zwölf Jahren müssen von einer erwachsenen Person begleitet werden. Moderatorin: Was erwartet die Besucher? Frau Özdemir: Es gibt Informationen, praktische Aktionen und ein kleines Kulturprogramm. Für Essen sorgen wir auch: Wasser und belegte Brote. Moderatorin: Werden noch Helfer gesucht? Frau Özdemir: Ja, besonders für den Aufbau am Vormittag und das Aufräumen am Abend. Interessierte melden sich direkt bei mir. Moderatorin: Und falls das Wetter schlecht ist? Frau Özdemir: Dann nutzen wir der Workshop findet vollständig drinnen statt. Die Veranstaltung fällt also nicht aus. Moderatorin: Vielen Dank für die Informationen.
mt5/b1m5-h3-1.mp3 | Achtung am Hauptbahnhof Bremen: Der Regionalexpress nach Berlin fährt heute nicht von Gleis acht, sondern von Gleis zwölf. Die Abfahrtszeit ändert sich nicht.
mt5/b1m5-h3-2.mp3 | Wegen einer internen Schulung öffnet das Bürgerbüro morgen erst um elf Uhr. Bereits vereinbarte Termine am Vormittag werden telefonisch neu vergeben.
mt5/b1m5-h3-3.mp3 | Und nun das Wetter: Am Morgen bleibt es trocken. Gegen Mittag ziehen Wolken auf, ab dem späten Nachmittag muss mit kräftigem Regen gerechnet werden.
mt5/b1m5-h3-4.mp3 | Sie hören eine Nachricht der Arztpraxis. Ihr Termin bei Frau Dr. Kern wurde von Donnerstag auf Freitag, neun Uhr fünfzehn verschoben. Bitte bestätigen Sie den neuen Termin.
mt5/b1m5-h3-5.mp3 | Im Kulturzentrum beginnt gleich der Filmabend. Eintrittskarten gibt es noch an der Abendkasse. Mitglieder zahlen sechs Euro, alle anderen neun Euro.
